Timepoint_code	Date	Time	Date_time	Incubation_duration_days	Day_of_week
tU	2019-11-20	0:30	2019-11-20 0:30	NA	Wed
t0	2019-11-20	1:00	2019-11-20 1:00	0	Wed
t1	2019-11-20	9:30	2019-11-20 9:30	0.354166667	Wed
t2	2019-11-20	21:00	2019-11-20 21:00	0.833333333	Wed
t3	2019-11-21	10:30	2019-11-21 10:30	1.395833333	Thurs
t4	2019-11-22	10:15	2019-11-22 10:15	2.385416667	Fri
t5	2019-11-23	10:00	2019-11-23 10:00	3.375	Sat
t6	2019-11-25	11:00	2019-11-25 11:00	5.416666667	Mon
t7	2019-11-29	13:00	2019-11-29 13:00	9.5	Fri
t8	2019-12-04	13:00	2019-12-04 13:00	14.5	Wed
t9	2019-12-11	14:20	2019-12-11 14:20	21.55555556	Wed
t10	2019-12-17	13:00	2019-12-17 13:00	27.5	Tues